date;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
2010-07-16;-1.7;94.22;-40.3;0.79;4991.6
2010-07-12;-1.7;94.22;-40.3;0.79;4991.6
2010-07-13;-1.7;94.22;-40.3;0.8;4991.6
2010-07-14;-1.7;94.22;-40.3;0.8;4991.6
2010-08-16;-1.7;94.03;-38.3;0.9;4991.6
2010-08-17;-1.7;94.03;-38.3;0.9;4991.6
2010-08-11;-1.7;94.03;-38.3;0.9;4991.6
2010-08-12;-1.7;94.03;-38.3;0.9;4991.6
2010-08-13;-1.7;94.03;-38.3;0.9;4991.6
2010-09-15;-1.1;94.2;-37.5;0.89;4963.6
2010-09-16;-1.1;94.2;-37.5;0.88;4963.6
2010-09-17;-1.1;94.2;-37.5;0.88;4963.6
2010-09-13;-1.1;94.2;-37.5;0.88;4963.6
2010-09-14;-1.1;94.2;-37.5;0.88;4963.6
2010-10-15;-1.1;94.6;-49.5;0.94;4963.6
2010-10-11;-1.1;94.6;-49.5;0.95;4963.6
2010-10-12;-1.1;94.6;-49.5;0.96;4963.6
2010-10-13;-1.1;94.6;-49.5;0.96;4963.6
2010-10-14;-1.1;94.6;-49.5;0.96;4963.6
2010-11-16;-1.1;94.77;-50.8;1.05;4963.6
2010-11-15;-1.1;94.77;-50.8;1.05;4963.6
2010-11-17;-1.1;94.77;-50.8;1.05;4963.6
2010-11-11;-1.1;94.77;-50.8;1.05;4963.6
2010-11-12;-1.1;94.77;-50.8;1.05;4963.6
